Customer ID,Customer Status,Date Order was placed,Delivery Date,Order ID,Product ID,Quantity Ordered,Total Retail Price for This Order,Cost Price Per Unit
579,Silver,2017-01-01,2017-01-07,123002578,220101400106,2,92.6,20.7
7574,SILVER,2017-01-01,2017-01-05,123004074,210201000009,1,21.7,9.95
28861,Gold,2017-01-01,2017-01-04,123000871,230100500068,1,1.7,0.8
43796,Gold,2017-01-01,2017-01-06,123002851,220100100633,1,47.9,24.05
54673,Gold,2017-01-01,2017-01-04,123003607,220200200043,1,36.9,18.3
74503,Silver,2017-01-01,2017-01-04,123000487,240200100007,1,24.7,11.8
1870,Silver,2017-01-02,2017-01-02,123006324,240100400009,1,65.5,25.6
2351,Silver,2017-01-02,2017-01-02,123005769,240600100089,2,44,9.1
3073,Silver,2017-01-02,2017-01-02,123008467,240200100215,1,108.7,56.3
5907,Gold,2017-01-02,2017-01-06,123008924,220200300083,1,53,26.6
7309,SILVER,2017-01-02,2017-01-07,123006398,220200200021,1,64,37.85
9216,Silver,2017-01-02,2017-01-02,123009762,220100100108,1,114.2,57.2
9542,Silver,2017-01-02,2017-01-06,123009779,220200100226,2,266.4,66.7
12409,Gold,2017-01-02,2017-01-02,123005849,240200100047,2,29.6,7.5
12601,Silver,2017-01-02,2017-01-07,123009881,240800100075,2,647.2,133.55
14679,Silver,2017-01-02,2017-01-07,123009905,240500100046,1,69.8,22.4
16958,GOLD,2017-01-02,2017-01-02,123009956,220200200045,3,339,51.45
17705,Silver,2017-01-02,2017-01-02,123008541,230100300001,1,12.7,5.75
18363,Silver,2017-01-02,2017-01-03,123009987,240800100080,2,423.2,94.25
18432,Silver,2017-01-02,2017-01-04,123009996,240600100165,1,22.8,9.75
18802,Gold,2017-01-02,2017-01-02,123006561,240500100011,1,39.2,17.85
19121,Silver,2017-01-02,2017-01-02,123006600,240800200042,2,95.8,20.9
19669,GOLD,2017-01-02,2017-01-02,123008945,230100500095,1,96.9,40
20504,Gold,2017-01-02,2017-01-04,123010084,220200300121,2,169.8,38.7
21446,Gold,2017-01-02,2017-01-06,123008948,240300300032,2,94.6,20.2
23400,Silver,2017-01-02,2017-01-02,123008591,210200600085,1,36.6,16.55
25625,Gold,2017-01-02,2017-01-02,123006672,240500200069,1,10.2,4.85
27779,Silver,2017-01-02,2017-01-02,123010227,230100100033,2,103,23.75
28821,Gold,2017-01-02,2017-01-07,123006707,240300300005,2,256,55.8
29095,Silver,2017-01-02,2017-01-02,123010254,240800200008,8,1202,60.1
29494,Silver,2017-01-02,2017-01-02,123009270,240500100055,1,93.2,37.3
30556,SILVER,2017-01-02,2017-01-02,123010296,220100700027,1,57.9,29.05
30802,GOLD,2017-01-02,2017-01-02,123008037,240100300005,1,45,19.2
31447,Gold,2017-01-02,2017-01-06,123008053,210200400047,1,30.6,15.4
33957,Silver,2017-01-02,2017-01-06,123008997,220200200085,1,41.4,18
35331,Silver,2017-01-02,2017-01-06,123009271,230100100024,2,91,20.8
35484,Silver,2017-01-02,2017-01-04,123010388,240800100099,2,51.4,10.4
35675,Gold,2017-01-02,2017-01-02,123008662,220101300016,1,24.3,10.9
35983,Gold,2017-01-02,2017-01-02,123010401,220100100232,1,40.5,20.35
38619,Silver,2017-01-02,2017-01-02,123008100,220200200066,1,88.2,38.4
39859,Gold,2017-01-02,2017-01-02,123010492,240800200018,2,78.8,16.35
40639,Gold,2017-01-02,2017-01-02,123006897,220200300117,1,99.6,45.35
40959,Silver,2017-01-02,2017-01-02,123009289,240100300001,1,35.5,17.9
43110,Silver,2017-01-02,2017-01-02,123007162,230100100015,2,213.8,45.5
43450,SILVER,2017-01-02,2017-01-02,123005983,220100100218,2,73.4,18.45
43894,Silver,2017-01-02,2017-01-02,123010577,220100500016,1,196,86.45
43941,Silver,2017-01-02,2017-01-02,123010597,220101300012,1,18.4,8.3
45734,Gold,2017-01-02,2017-01-02,123009293,220101200019,1,47.4,20.55
49196,Gold,2017-01-02,2017-01-02,123006025,240100100379,2,3,0.7
50740,Gold,2017-01-02,2017-01-12,123010721,230100500087,1,91.1,37.95
51269,Gold,2017-01-02,2017-01-07,123008749,220100100617,1,37.3,18.75
52897,Silver,2017-01-02,2017-01-02,123010782,220100400004,1,100.9,50.55
55397,Silver,2017-01-02,2017-01-02,123010869,220101400385,1,24.8,12.35
57190,Gold,2017-01-02,2017-01-02,123006992,220200100126,1,33.4,16.8
58517,Silver,2017-01-02,2017-01-02,123010943,220100100638,1,55.6,23.7
58709,Silver,2017-01-02,2017-01-02,123010973,240100400057,1,217.5,161.2
59593,PLATINUM,2017-01-02,2017-01-02,123010979,240800100090,2,413.8,82.8
62216,SILVER,2017-01-02,2017-01-04,123007573,240500200141,1,101.1,48.1
62236,Gold,2017-01-02,2017-01-02,123007583,240200200070,1,24.3,13
